Term,H1_Effect,H1_SE,H1_95CI_low,H1_95CI_hi,H3_Effect,H3_SE,H3_95CI_low,H3_95CI_hi,contacts_H3
30,-0.872757750877897,0.03852734647015786,4.034908074018843e-113,-1.0456015755209616,0.04951776203028069,0.04289065891556302,0.24832935926166805,-0.12542864654121275,2
35,0.031794733901686856,0.03800482036887326,0.4028223421271695,-0.13870490101391197,-0.007708773568009725,0.04289065891556505,0.8573690212890555,-0.18265518213951146,5
36,0.20420455720379804,0.038007110970611935,7.782074543399e-08,0.03369464604543865,-0.03306536327496498,0.04289065891556953,0.4407786746866105,-0.20801177184648495,7
57,-0.11246010558964048,0.03799471555192303,0.0030787479028407524,-0.28291440763471976,1.4,1.4,1.4,1.4,1
64,0.09532796480446372,0.038149208100119764,0.012463528520199359,-0.07581943150626548,0.10502413378458253,0.04289065891556727,0.014363364749910882,-0.06992227478692822,0
65,-0.2113971920909548,0.03819481711241634,3.130856040125788e-08,-0.3827492024445857,0.0848785643076565,0.042890658915567564,0.04785996813256745,-0.09006784426385545,0
66,-0.20716599081957526,0.038242769208618035,6.080331129464929e-08,-0.37873312690769134,0.11738858098667293,0.042890658915567516,0.006217050990662008,-0.05755782758483882,0
79,-0.13722990998160234,0.0380396941526208,0.00030936657734145177,-0.3078859978770961,0.033850039050333125,0.04289065891556755,0.4300115188391479,-0.1410963695211788,0
82,0.6150658053495166,0.03799676019246241,8.333392449619733e-59,0.4446023305084048,1.4,1.4,1.4,1.4,6
83,0.8854764392940606,0.03799473826305247,1.3882879262204722e-119,0.7150220353608725,1.4,1.4,1.4,1.4,10
84,-0.05459018860240139,0.03807708039215831,0.1516701734315178,-0.22541400101626266,0.0470427765825433,0.04289065891556736,0.2727629562258593,-0.12790363198896787,2
85,-0.10900280142681934,0.03813669427191818,0.004261852473527482,-0.28009405740800464,0.061056382740769966,0.042890658915567405,0.1546248775916504,-0.11389002583074136,1
92,0.015505239959027084,0.038013530393800135,0.6833578461229871,-0.15503347042267646,-0.013022813852513915,0.042890658915567655,0.7614200576973915,-0.18796922242402625,0
95,0.00963502409793804,0.03807062686450291,0.8002050576467339,-0.16115983609095588,-0.026983211276422808,0.0428906589155675,0.5292931839423942,-0.20192961984793453,0
103,-0.009799156715763369,0.03803134365201991,0.7966702157483451,-0.1804177820659801,-0.015885387687549546,0.0428906589155676,0.7111183188073031,-0.1908317962590617,0
113,0.002399885006897529,0.038000991902704485,0.9496447121533892,-0.1680825744010229,-0.02881079566696887,0.04289065891556753,0.5017796344659009,-0.2037572042384807,1
