labels,distance,epistasis
"64,65",3.7907450199127197,0.7854535525003462
"35,36",3.796290397644043,0.6519348921117036
"30,64",13.920012474060059,0.4737767175361449
"30,36",5.494551181793213,0.42573433447288
"30,35",3.804908275604248,0.4221134343455066
"35,65",12.707209587097168,0.4158637404765033
"35,113",15.640142440795898,0.3765318532219695
"36,65",13.323627471923828,0.3194638610233257
"35,64",11.418819427490234,0.21205943616601908
"30,113",14.566898345947266,0.18269188274546794
"35,84",9.9136962890625,0.18252013418535584
"35,85",6.707550525665283,0.170701348982081
"65,84",17.89999008178711,0.16617623704789142
"65,103",16.747163772583008,0.0
"65,113",15.639800071716309,0.0
"95,113",31.37021827697754,0.0
"66,79",10.1663236618042,0.0
"79,85",11.27595043182373,0.0
"65,95",24.333024978637695,0.0
"66,84",20.859270095825195,0.0
"66,85",18.51762580871582,0.0
"66,92",16.726057052612305,0.0
"66,95",22.756088256835938,0.0
"95,103",18.49596405029297,0.0
"65,92",17.263111114501953,0.0
"66,103",15.975787162780762,0.0
"66,113",14.450136184692383,0.0
"79,84",12.257159233093262,0.0
"92,95",9.193099975585938,0.0
"79,92",14.061115264892578,0.0
"79,95",21.961063385009766,0.0
"85,113",20.502017974853516,0.0
"79,113",19.929365158081055,0.0
"84,85",3.812920331954956,0.0
"65,85",15.817362785339355,0.0
"84,92",23.67634391784668,0.0
"84,95",30.48501205444336,0.0
"84,103",18.771297454833984,0.0
"84,113",24.224830627441406,0.0
"85,92",23.353132247924805,0.0
"92,113",27.98963737487793,0.0
"92,103",16.86698341369629,0.0
"85,95",29.79625701904297,0.0
"85,103",16.359947204589844,0.0
"79,103",14.692693710327148,0.0
"64,95",28.10326385498047,0.0
"65,79",7.604381084442139,0.0
"36,79",14.359474182128906,0.0
"30,65",14.671697616577148,0.0
"30,79",13.349287986755371,0.0
"30,84",10.43509292602539,0.0
"30,85",6.693087100982666,0.0
"30,92",25.57701873779297,0.0
"30,95",31.263568878173828,0.0
"30,103",15.365580558776855,0.0
"35,79",11.754902839660645,0.0
"35,92",25.126310348510742,0.0
"35,95",31.690479278564453,0.0
"35,103",17.415307998657227,0.0
"36,64",11.226499557495117,0.0
"65,66",3.808236598968506,0.0
"36,66",15.581446647644043,0.0
"36,84",13.601309776306152,0.0
"36,85",10.384154319763184,0.0
"36,92",27.527400970458984,0.0
"36,95",33.84805679321289,0.0
"36,103",19.082162857055664,0.0
"36,113",13.54776668548584,0.0
"64,79",9.905732154846191,0.0
"64,84",18.09295082092285,0.0
"64,85",15.842610359191895,0.0
"64,92",20.98070526123047,0.0
"64,103",19.146793365478516,0.0
"64,113",14.96782112121582,0.0
"103,113",16.685583114624023,0.0
"35,66",15.353939056396484,-0.22316004425509195
"30,66",16.682893753051758,-0.25417257105815416
"64,66",6.469074249267578,-0.2925862550896041
