,concen,total_ct,1,2,3,4
0,_7_,1459066.0,38670.0,449900.0,525332.0,445164.0
1,_75_,1734266.0,248326.0,214918.0,516960.0,754062.0
2,_8_,1206570.0,219014.0,203519.0,567812.0,216225.0
3,_85_,1246072.0,416502.0,233366.0,330005.0,266199.0
4,_9_,1444018.0,564342.0,291985.0,407392.0,180299.0
5,_95_,859020.0,116118.0,178755.0,298043.0,266104.0
6,_10_,1437322.0,542760.0,9246.0,374495.0,510821.0
7,_105_,2275908.0,1548272.0,210189.0,329438.0,188009.0
8,_11_,1182889.0,909956.0,76448.0,110383.0,86102.0
9,_115_,966157.0,695315.0,45215.0,76129.0,149498.0
10,_12_,2574601.0,2392945.0,78045.0,44357.0,59254.0
11,_0_,2626174.0,2515066.0,25422.0,53966.0,31720.0
