H1,FluB,H3,H3,H1,H1,H1,H1,FluB,H1,H1,H1,H1,H1,H1,FluB,4.273745258045471e-06,5.225842086450022e-06,5.214392073420524e-06,4.932785939853462e-06,3.1208120217760826e-06,3.949819742692238e-06,3.7389699241845404e-06,4.348357970909479e-06,3.2680804093932686e-06,2.6872076518894975e-06
H1,H3,H3,H1,H1,FluB,H3,H1,FluB,FluB,H1,FluB,FluB,H1,H3,H3,1.1640337857285272e-05,1.136651736693078e-05,1.188841199552124e-05,1.4229343362487767e-05,6.824098685721873e-06,8.822810918479279e-06,1.1619816391130371e-05,1.107583556527862e-05,7.869477266954048e-06,6.868506010952287e-06
FluB,FluB,FluB,H3,FluB,FluB,FluB,H1,H3,H1,FluB,FluB,H3,FluB,H1,H1,1.1263435766102345e-06,1.1882201523168477e-06,1.0654723966791712e-06,1.312812639212742e-06,1.3444163768386515e-06,1.1523728080293211e-06,1.267004256616905e-06,1.0635985265561549e-06,1.1534211349248084e-06,1.23678333188239e-06
H1,H1,H1,H1,H1,FluB,FluB,FluB,FluB,H1,H3,H3,H1,H1,H3,FluB,1.4354699968898634e-05,1.64363907531297e-05,1.9808300669017184e-05,1.4777711138398656e-05,1.0857845606389582e-05,1.4044587717303225e-05,1.357424516929359e-05,1.4276072265326181e-05,1.1278160661233252e-05,8.244071006596459e-06
H1,H3,H1,H3,H1,H3,H1,H3,H1,H3,H3,FluB,FluB,H3,H3,H1,3.1463427123415975e-05,3.336960160829372e-05,3.4525794407966044e-05,3.1447426789562423e-05,2.7316448364542577e-05,2.733088909232838e-05,3.2579640541466325e-05,3.424258863573345e-05,2.232313725298613e-05,1.8587108798644004e-05
H3,H3,FluB,FluB,FluB,FluB,H3,H1,FluB,H1,H1,H3,FluB,H3,H1,H3,6.046086714793193e-06,5.036995247443759e-06,4.983207123851447e-06,6.279672503223188e-06,4.2502166725310675e-06,5.088367297523685e-06,5.512830609765173e-06,5.687598506689336e-06,5.173480724797405e-06,5.287595662167969e-06
H3,FluB,H1,FluB,H1,H3,H1,H1,H1,H3,FluB,H3,H3,H1,H1,H1,4.756879943993274e-06,4.525604820266e-06,4.724770719683951e-06,4.743968291270845e-06,5.421247073723072e-06,4.4864253931210995e-06,5.09247925601675e-06,4.604417078528207e-06,4.768674386327397e-06,5.2573271860377885e-06
H3,H1,FluB,H3,FluB,H3,FluB,H3,H3,H3,H1,H3,FluB,H1,H3,FluB,7.797244390082837e-06,7.0183421099640425e-06,7.918730892910447e-06,7.730043159098346e-06,6.523059765314104e-06,9.183045708640086e-06,6.678818863744582e-06,7.19845197112433e-06,7.844898379603536e-06,8.047648616374629e-06
H1,H3,FluB,H1,H3,H1,FluB,H1,H3,FluB,H1,H3,H3,H3,FluB,H3,6.607969187226257e-05,5.502254546910842e-05,5.729994353647511e-05,8.074335215389518e-05,2.802377823579511e-05,4.177652021951112e-05,6.473321536627888e-05,5.321735997526574e-05,3.7311593983224195e-05,3.4299916457378497e-05
H1,H1,FluB,H3,FluB,FluB,H3,FluB,H1,H3,H3,FluB,H1,H3,FluB,FluB,1.281399399946791e-05,1.7386381156572697e-05,1.4713130570050031e-05,1.2987188219698155e-05,8.781808804260956e-06,1.3680355283266463e-05,9.873125272532743e-06,1.246631862175488e-05,1.02542285560798e-05,7.760668129772645e-06
