Nonlinear function type: 	logistic
A	3.1137730408982147
B	6.6918087139756945
mu	8.244623369073675
sigma	0.45122887844697673
Nonlinear function performance: 	0.8457744002583418
Params: 	232
Performance: 	0.9335704800259464
Term	Coefficient	Standard Error	p-value	95% CI lower	95% CI upper
Intercept	8.769901040314963
1	0.491318659024029	0.007394769656901422	0.0	0.46389475195244084	0.5187425660956171
2	0.5416247849579195	0.007417903676007962	0.0	0.514115084113218	0.569134485802621
3	0.006958556014399077	0.007371546967699608	0.34532405912933517	-0.020379228446185418	0.034296340474983575
4	-0.0446958156889856	0.007376074734019767	1.6962917170450089e-09	-0.07205039161821172	-0.017341239759759475
5	0.035564326147349966	0.007390346439399995	1.6320067207144624e-06	0.008156822819400184	0.06297182947529975
6	0.5760791183090181	0.00785374970418994	0.0	0.546953058668985	0.6052051779490513
7	0.2966746499396553	0.007660386673459727	1.9568798376150417e-232	0.2682656876578715	0.3250836122214391
8	-0.015102977101950747	0.007678783239233122	0.049372584961510486	-0.04358016405246849	0.013374209848566996
9	0.21906849693529076	0.007854329176607274	5.352960517649619e-140	0.1899402882901553	0.24819670558042622
10	0.1347392699564072	0.007390068011980068	1.1441713887434967e-67	0.10733279919174803	0.16214574072106636
11	0.08661137740568585	0.007366010916087938	1.1067374038531938e-30	0.059294123694804995	0.1139286311165667
1,2	0.0966186384727419	0.00726212463729855	2.1428257612144567e-38	0.06968665269956811	0.12355062424591567
1,3	0.01360829622102618	0.007241893481803274	0.06041033129141281	-0.013248661207250398	0.04046525364930276
1,4	0.009020728380450625	0.007252151483888282	0.21372875152787807	-0.017874271408706916	0.03591572816960817
1,5	-0.009457114442634789	0.0072443806128207125	0.1919291025777675	-0.036323295532101875	0.017409066646832297
1,6	0.08374033902966681	0.0074788694905978574	4.463120176502806e-28	0.056004543132457896	0.11147613492687572
1,7	0.05129519700309938	0.007374737558273164	5.090107380886596e-12	0.023945580063147388	0.07864481394305138
1,8	0.08536170624905766	0.007380593783577106	8.9085387513668e-30	0.05799037117778082	0.1127330413203345
1,9	0.018915761921685773	0.007480782763968171	0.011547347376631522	-0.0088271294542932	0.04665865329766475
1,10	0.03672090996673545	0.007254947587758705	4.637013292587378e-07	0.009815540673690334	0.06362627925978057
1,11	-0.006079927761154024	0.007240960037533757	0.4012250063952232	-0.03293342346038542	0.020773567938077372
2,3	-0.029733705243268987	0.007247893821622057	4.2933703394919984e-05	-0.05661291525941822	-0.0028544952271197487
2,4	-0.004003363264626881	0.0072516434128839825	0.5809818837765602	-0.030896478844721242	0.022889752315467478
2,5	0.0031725422362210154	0.007272899838585475	0.6627398061725142	-0.02379940395931622	0.03014448843175825
2,6	0.009105830868396081	0.007509035620117262	0.22544162785620078	-0.018741837767387935	0.0369534995041801
2,7	-0.028010128053243776	0.007395464261429274	0.0001577812053883445	-0.055436611103653055	-0.0005836450028344972
2,8	-0.07868174805588819	0.007404776325677613	1.5500648815840058e-25	-0.10614276540505724	-0.05122073070671915
2,9	-0.0036823654192866123	0.007505673520055716	0.6237685161536674	-0.03151756552340147	0.024152834684828248
2,10	0.02162841518236639	0.007263531955229265	0.0029478630370756527	-0.005308789706201477	0.04856562007093426
2,11	0.017462205639997626	0.007243391451932891	0.016029976908022405	-0.009400307092302836	0.04432471837229809
3,4	-0.001121613543150905	0.007231283358543834	0.8767574008612391	-0.02793922274994321	0.025695995663641398
3,5	-0.006265071640314216	0.007228801743720882	0.386245466179158	-0.033073477643024485	0.02054333436239605
3,6	0.00906229211054546	0.007455142629697429	0.22432471104455462	-0.018585511427384682	0.0367100956484756
3,7	-0.00855520892939073	0.00735916344922035	0.24519470520953154	-0.03584706843548019	0.01873665057669873
3,8	-0.0020042775274919794	0.007361659332451128	0.7854578400444969	-0.02930539315283304	0.02529683809784908
3,9	0.0045041951036359894	0.007452335939092819	0.5456626050712108	-0.023133199668924742	0.03214158987619672
3,10	-0.003766309579111079	0.007235471475013616	0.6027629460039294	-0.03059945064452796	0.023066831486305797
3,11	-0.015357296802076023	0.007225204342136078	0.03369534290021674	-0.042152361644569245	0.011437768040417202
4,5	0.000676240777457789	0.00723518946995685	0.9255453666282643	-0.026155854456806897	0.02750833601172247
4,6	-0.027859139683493538	0.007457012534382187	0.0001935207926666823	-0.055513877865055156	-0.00020440150193191606
4,7	-0.002640416864361276	0.007361488801647131	0.7198817159065588	-0.029940900066903704	0.02466006633818115
4,8	-0.012446061725572027	0.007363664105550588	0.0911833662314898	-0.03975461216142512	0.014862488710281067
4,9	0.009120092551155676	0.0074564840334081445	0.22146753316404777	-0.018532685655684375	0.03677287075799573
4,10	-0.0014838520479503485	0.0072428233050569855	0.837697990695048	-0.02834425777653727	0.02537655368063657
4,11	-0.005448472508168302	0.007228349231430663	0.4511009063706197	-0.032255200344340394	0.02135825532800379
5,6	-0.005058379318658577	0.007468421887642885	0.49831148060757535	-0.03275542970980692	0.022638671072489763
5,7	0.0064005475049634004	0.007375294621108943	0.38561335284849796	-0.020951135332934065	0.033752230342860866
5,8	-0.0044898989379751186	0.007376339146492906	0.5428162479965788	-0.03184545545529639	0.022865657579346152
5,9	0.013491079737285791	0.007471314653185426	0.07114926978329339	-0.014216698632839486	0.04119885810741107
5,10	0.0034396590696489284	0.007238422899156857	0.6347127730737125	-0.023404427513368693	0.030283745652666554
5,11	-0.01299933659651284	0.007227722739296175	0.07227898038075681	-0.03980374105239394	0.013805067859368261
6,7	0.09935588156603886	0.007852991659479327	4.782414475313396e-35	0.0702326331762089	0.12847912995586883
6,8	0.05291551062964571	0.007844500949540194	2.119112691319313e-11	0.023823750501268927	0.0820072707580225
6,9	0.09240577032834218	0.007679809947163006	5.41507748619312e-32	0.06392477577540202	0.12088676488128235
6,10	-0.06873549500467557	0.007489564373680074	1.3122042131749282e-19	-0.09651095345979993	-0.040960036549551215
6,11	0.007431018039469783	0.00744294058516077	0.3182363631538486	-0.02017153354999102	0.03503356962893059
7,8	0.10841840098754882	0.0076386740887795825	3.6027256537521636e-43	0.08008996101168926	0.1367468409634084
7,9	-0.048075681548279736	0.00784658044762764	1.1238656433498904e-09	-0.07717515360886694	-0.018976209487692536
7,10	-0.05004374444238567	0.007369112479282788	1.5613716769100977e-11	-0.07737250046973865	-0.022714988415032687
7,11	0.0029214654291494753	0.0073532828902799765	0.6911982956269445	-0.024348585702995668	0.030191516561294617
8,9	-0.016775591974023604	0.007845108599216891	0.03263844790373379	-0.045869605604407754	0.012318421656360545
