90683.20,75370.00,78851.19,45442.53,41230.00,72231.91,13701.66,11982.00,74941.75,314.00,285.00,72204.58,51.80
45130.70,43210.00,68449.09,18390.26,19070.00,63200.01,3035.69,3194.00,62287.72,303.00,275.00,72208.76,52.80
64229.50,60084.00,70057.66,28853.93,29680.00,63711.97,4825.45,4512.00,70088.82,350.00,357.00,64250.98,53.30
100089.15,87882.00,74639.20,85170.69,80494.00,69343.64,6093.99,5018.00,79588.63,369.00,418.00,57853.55,54.50
71120.80,67145.00,69416.53,29921.36,30637.00,64005.17,2860.76,2797.00,67029.96,286.00,297.00,63108.74,55.80
39589.35,39081.00,66388.46,12589.01,13069.00,63129.05,2366.91,2461.00,63030.41,304.00,285.00,69905.07,56.20
93870.45,85517.00,71937.68,16729.02,15545.00,70527.70,9717.54,8409.00,75734.18,308.00,265.00,76170.15,56.40
69966.55,64999.00,70544.59,34288.66,35123.00,63979.21,2717.96,2211.00,80562.75,303.00,248.00,80070.20,57.80
88807.90,82947.00,70166.67,42690.06,43031.00,65016.75,10964.66,9427.00,76225.73,376.00,312.00,78979.29,57.90
75013.90,69060.00,71186.09,25394.60,25792.00,64526.23,8028.93,7028.00,74869.66,367.00,325.00,74005.27,59.10
38474.05,36208.00,69637.52,14999.95,14628.00,67202.41,3834.18,3412.00,73645.02,358.00,356.00,65904.18,59.40
70037.80,61500.00,74634.09,19729.01,17336.00,74582.41,5999.98,5064.00,77649.04,388.00,296.00,85905.30,59.70
92285.85,82887.00,72967.37,37154.18,37075.00,65675.98,6718.74,5715.00,77046.26,315.00,273.00,75618.46,60.90
51100.50,48248.00,69410.59,23383.50,23644.00,64813.96,3783.01,3708.00,66861.74,355.00,341.00,68226.62,62.10
89186.95,74693.00,78253.06,28795.62,26001.00,72579.89,5232.43,4725.00,72574.08,377.00,368.00,67138.78,63.10
158187.34,103289.00,100368.54,59630.90,44989.00,86865.03,8111.04,6445.00,82477.15,305.00,318.00,62856.86,63.30
45734.90,44275.00,67696.95,17374.00,18311.00,62182.43,3324.86,2771.00,78635.16,369.00,388.00,62326.76,63.60
