count,deltaKd
6,-0.01214582894336047
5,0.1817084343139399
4,-0.005729955053281444
5,0.032870468532333774
5,0.057726106394893506
5,-0.0043898373712689676
5,0.049693343683159696
4,0.06500305164221487
6,-0.020039978804511804
3,0.0
3,0.02009016412743314
6,-0.062121111670887075
3,0.10850978711567194
5,0.007580779426296758
5,0.030105357014816647
6,0.015745453200500137
8,-0.012859934257763328
7,-0.0313010668306255
2,0.0
4,0.047911770359357675
4,0.1019944811179414
4,0.07957577929474446
6,0.00914938491916395
6,0.020587212392737086
6,-0.025492777686167756
6,0.0016900620407902522
5,-0.03020586577549622
5,-0.04598831290258154
5,0.012417665026559277
6,-0.008699469712842856
5,0.22050193896012082
7,-0.018987480736827322
7,-0.07199159810214617
4,0.015185990184292564
6,-0.04289965564590936
4,-0.014254132577743661
4,0.68123230194694
3,0.45971932345000965
3,0.02907625315207696
8,-0.022037580915311494
5,-0.0006491828404051603
5,0.074967892570033
4,0.2697700199903732
3,-0.035332980734676056
6,-0.0009614187273427888
5,0.08558253990523923
4,0.017927562524217677
4,0.0
5,-0.024523147993226857
4,-0.008868025682378544
6,0.08985992400589815
6,0.0038382980241582487
5,0.04521324423817674
5,-0.0006825423049541257
7,-0.04568851486285297
8,-0.012051261678244884
6,-0.003905871602338351
3,0.3493262677763518
7,-0.038455977470011504
6,-0.025225615513699395
6,-0.016402113140982166
4,0.04376769101366307
4,0.07557386877278915
6,0.1191734283201793
5,-0.03657921577669576
9,-0.048268008509424476
7,0.04083213778326211
5,0.04495401443194069
8,-0.014803391795190635
4,0.07048794817603543
4,-0.005572478820921489
4,0.13547924571459902
5,0.10017196961685926
4,0.04214432651913036
4,0.046902890625762694
6,0.021783207112513026
5,-0.00025509432635217877
6,0.001672722032290963
7,0.020197368484407008
6,-0.02566886316177097
5,0.016259356171213213
7,-0.006064818321224408
6,0.02196969103248847
8,-0.028343646347792628
4,0.0
6,0.08865191674766493
4,-0.03387617100415774
5,0.016923368861624155
5,0.01218901251995419
5,-0.0391586494940146
7,0.04131677633905184
6,-0.007766142182980218
4,-0.009189902390223992
5,-0.0279429061617531
7,0.14034385815057604
5,-0.016658576795149926
5,0.01502606213576918
6,0.09550979529878134
6,-0.021827645035449095
5,0.10516949440277124
5,0.22863933190640928
5,-0.04593581593474916
3,0.0
3,-0.026522495800115564
4,0.05653433851494327
5,-0.06480962742095464
4,0.1271928286608528
4,0.055369044442997506
2,0.16695524231423953
7,-0.05762509414826411
5,-0.03257908568471102
5,0.06578408156039828
5,0.030764619809660942
5,0.09430582030095813
6,-0.038013470857030995
6,0.06707896061241314
7,-0.04414668886657047
7,0.047606825030168665
6,-0.01422776368917944
3,0.0
8,-0.0049147250433527745
4,-0.0069285382953161445
3,0.09606124910414238
6,0.008926436978304864
8,-0.09446110574338995
6,-0.07394112230292471
6,0.018136496966858928
6,0.01431460203392021
5,-0.013774458270706447
4,0.18431781681695458
3,0.04694293337638733
3,0.0657523381489753
3,0.08940862821888196
7,0.01817250687012617
7,-0.03899135344327753
4,0.0
4,0.44749808742866115
10,-0.01358954769486509
3,0.28176944120445935
6,-0.007618768826441524
3,-0.16352360574926195
6,0.015441442443508535
6,-0.017381371460899686
5,0.017746679581703617
5,0.17476231704878664
4,-0.012228348094099672
4,-0.052832656797223265
4,-0.14130018575064796
2,0.12815990711348757
5,-0.02454637445969432
2,0.0
4,-0.01086767872934935
7,-0.04773522334981273
6,0.01302835188002227
4,0.0
4,0.0
6,0.05550922981576356
7,-0.0008190462587762681
2,0.0
6,0.0
5,0.04167135510587272
6,0.01880190370151702
5,0.05778852908526666
5,0.0798357474645659
7,0.00996058623366558
8,0.01823893807599042
7,0.006172691645865314
5,0.0
9,-0.008606763060901912
4,0.12949864765739072
6,0.02569110424479426
3,-0.02989052350959831
4,-0.013576442894320806
5,-0.01439116611461877
5,-0.028291660352840253
5,-0.07443174864318358
