98681.3,73357,88160.3,119808,85481,91853.6,1355.02,554.4,0.649197
56192.5,43261,85125.9,30816.2,16937,119240,6602.07,542.52,0.658509
100511,87477,75300.8,46037.5,43793,68894.9,16312.3,465.3,1.17667
85560.8,78236,71671.8,34540.9,33256,68068.2,18721.4,403.92,1.72742
116379,103911,73399.4,38805.9,36771,69162.8,21007.7,478.17,2.42518
161567,116119,91186,106722,80195,87213.7,21572.2,461.34,2.43715
111548,85085,85918.9,31230.4,25609,79921.6,11373.6,723.69,2.44779
78726.5,72541,71124.2,27828.2,27001,67543.6,14062.8,728.64,3.02781
52658.5,47506,72644,59440.5,40582,95990.7,15065.2,755.37,3.0491
62336.1,59161,69053.3,26226.4,26653,64487.1,10550.9,735.57,3.20541
157505,100629,102577,92216.7,62481,96725.6,3797.84,438.57,3.47147
99273.1,81381,79944.5,46805.1,39441,77772.3,19951.5,583.11,3.87922
70111.9,63985,71811.4,14468,13029,72774.3,3533.34,491.04,4.43263
89866.2,81509,72255.5,58471.8,57137,67067.1,9961.55,455.4,4.88095
90524.5,66523,89181.4,46861,34687,88537,10545.4,510.84,5.44501
63128.4,56340,73432.5,37556.4,37584,65487.9,26838.6,520.74,6.13079
149429,110245,88829.4,71025.2,51889,89705,15614.9,424.71,6.8751
51414.9,49063,68677.6,22900.4,23539,63757.9,4404.48,447.48,6.99816
112252,96739,76045.3,50301.3,42647,77298.4,23714.2,626.67,7.3487
158534,127992,81174.5,82336.1,72908,74010.8,4765.22,399.96,7.53029
43907.1,38293,75144.2,30381.9,28433,70028.1,17011.9,634.59,7.56687
107173,80501,87250,70912.1,49793,93332.3,16528.6,432.63,7.60013
78617.3,73729,69881.1,24834.1,25029,65025.7,9972.55,487.08,7.85289
72766.2,61787,77181.4,29094.3,25279,75427.2,8697.32,637.56,7.87883
97692.3,85125,75211.3,42278.3,32209,86024.2,14634.4,673.2,8.06707
130697,114004,75132.2,92903.3,89328,68159,10584.2,487.08,8.49743
117336,86571,88826,90405.5,72143,82126,35296.4,421.74,8.7176
57190,51171,73244.7,28491,27447,68028.7,17541.7,502.92,8.86593
80231.3,70234,74864.6,31524.3,30414,67928.5,20980.7,546.48,9.19452
94654.2,83497,74293.2,33237.9,30909,70473.9,35044,716.76,9.25771
54155.7,52328,67825,27153.4,28284,62916.4,13950.5,620.73,9.27899
59748.3,56145,69742.1,26713.1,25157,69589.8,13243.5,414.81,9.91489
96215,55752,113100,38727.4,28380,89430.5,17635.3,432.63,9.97209
93527.5,71765,85409.6,86171.5,55377,101980,1956.59,449.46,10.0765
111086,91817,79289.8,68560.7,58653,76606.3,17600.8,640.53,10.5222
47241.6,44772,69150.9,16662.4,16992,64264.7,11226.5,414.81,10.6599
43171.8,41337,68444.9,28569.5,29549,63363.6,13215.6,518.76,11.1208
94903.1,75607,82261.8,77721.3,56227,90588.9,3753.72,607.86,11.3044
99213.3,79352,81939.2,71567.8,36908,127080,20436.9,629.64,12.0128
55585.4,51435,70824.3,19366.1,18031,70388.4,6934.22,412.83,12.2443
60962.4,54460,73360.9,32676.2,30920,69258.4,19155.8,403.92,12.5828
88001.4,74481,77432.6,55851.5,52629,69548.8,2789.48,661.32,13.3604
34254.1,32977,68074.1,13983.7,14933,61369.8,10468.7,404.91,13.4476
103814,87816,77475.2,53752.3,50172,70212.7,13139.1,447.48,15.6532
42390.9,40625,68384.7,18730.6,19157,64077.3,4360.48,529.65,16.2266
125552,97071,84764.5,52963.3,39995,86786,21795,411.84,16.4281
31826.9,30568,68235,12931.7,13788,61466.1,21787.6,418.77,16.9017
162096,116441,91231.6,77450,46941,108131,1292.83,731.61,17.6201
94276.1,78190,79018.8,46652.8,41578,73534.9,12280.9,704.88,17.9447
69616,63733,71585.4,40839.6,36417,73494.9,14947.7,580.14,17.966
63372.6,60276,68902.8,43192.2,38432,73653.4,13417.6,488.07,17.9846
41762.9,39514,69266,20712,20062,67659.2,8319.75,399.96,18.0791
85315.7,78103,71588.2,36692.5,36611,65681.8,10757.4,424.71,18.2241
39179.9,37008,69382.1,29489.4,27908,69249.6,8215.06,523.71,18.256
55765.9,51561,70880.6,59323.9,52829,73593.1,19403.4,648.45,18.3431
