Library,Sample,Variant,Mean_Expression
6261,Exp_a,11111111111,3.127062684677423
6261,Exp_b,11111111111,3.3503395836409084
6261,Exp_c,11111111111,3.525959211917998
6261,Exp_x,11111111111,3.387141401311869
6261,Exp_y,11111111111,3.303019734452222
6261,Exp_z,11111111111,3.2443256096691018
6261,Exp_a,11111111110,3.0921367651041693
6261,Exp_b,11111111110,3.223688970995408
6261,Exp_c,11111111110,3.36924493185828
6261,Exp_x,11111111110,3.191348398397119
6261,Exp_y,11111111110,3.2731617438316896
6261,Exp_z,11111111110,3.1860306212922693
6261,Exp_a,11111111101,3.156898978723078
6261,Exp_b,11111111101,3.378738247106686
6261,Exp_c,11111111101,3.409433946734514
6261,Exp_x,11111111101,3.429812022468429
6261,Exp_y,11111111101,3.291952586178714
6261,Exp_z,11111111101,3.2984587801390095
6261,Exp_a,11111111100,3.166507167949417
6261,Exp_b,11111111100,3.281328529336797
6261,Exp_c,11111111100,3.341843406587186
6261,Exp_x,11111111100,3.2640232732938363
6261,Exp_y,11111111100,3.304775161175933
6261,Exp_z,11111111100,3.210653847996947
6261,Exp_a,11111111011,3.1335634361718943
6261,Exp_b,11111111011,3.1662628519621574
6261,Exp_c,11111111011,3.310020209707898
6261,Exp_x,11111111011,3.3351125746407653
6261,Exp_y,11111111011,3.2185420244412732
6261,Exp_z,11111111011,3.251053749225391
6261,Exp_a,11111111010,3.131030280252844
6261,Exp_b,11111111010,3.2141971252753603
6261,Exp_c,11111111010,3.3906820573707854
6261,Exp_x,11111111010,3.2724217996046665
6261,Exp_y,11111111010,3.2801312592442833
6261,Exp_z,11111111010,3.1994959536703287
6261,Exp_a,11111111001,3.197555432639548
6261,Exp_b,11111111001,3.310524579726086
6261,Exp_c,11111111001,3.4136904867835227
6261,Exp_x,11111111001,3.296868576773481
6261,Exp_y,11111111001,3.291263837581212
6261,Exp_z,11111111001,3.2201598158608045
6261,Exp_a,11111111000,3.221369232819478
6261,Exp_b,11111111000,3.2874443432744376
6261,Exp_c,11111111000,3.44975659571047
6261,Exp_x,11111111000,3.312547729072256
6261,Exp_y,11111111000,3.2938337879658968
6261,Exp_z,11111111000,3.2517173519877605
6261,Exp_a,11111110111,2.983462343328232
6261,Exp_b,11111110111,2.9019329856639184
6261,Exp_c,11111110111,3.8936935068206373
6261,Exp_x,11111110111,2.9881382349911005
6261,Exp_y,11111110111,2.83646074935538
