Unnamed: 0,variant,meanbin_a,meanbin_b,meanbin_c,meanbin_x,meanbin_y,meanbin_z,exp_mean,exp_sem,som_mut
0,10000100110,3.28861077710564,3.4611136305789927,3.5016265668542235,3.5832449139957165,3.5109824067503013,3.353539931709951,3.4498530378324705,0.037674284738140114,4
1,10000100100,3.2193901473102415,3.429602512935405,3.38782512661015,3.5094138775403225,3.5791108690490674,3.3406472215675738,3.4109982925021263,0.043777993191992416,3
2,10101100111,3.3452777458316163,3.467730754089677,3.5534834644272264,3.573136162135321,3.437339905387613,3.3284303822766264,3.4508997356913462,0.035216022056082805,7
3,10010100111,3.168061398233708,3.2723025183412937,3.357477269178065,3.313150338599553,3.407830829712459,3.233264036858533,3.2920143984872685,0.029820922116745068,6
4,00000100100,3.20251914187794,3.1652712937165863,3.34666539017944,3.268473803704132,3.4621630636878105,3.465887153521196,3.3184966411145176,0.04434404298409651,2
5,10001100111,3.2792290375372897,3.4821184743916516,3.4727059485477234,3.611274614255266,3.4389395302785086,3.2554991954874994,3.4232944667496565,0.04639200547653995,6
6,10000100111,3.2462628448097366,3.3898226989143416,3.4570214754493462,3.4570065955063813,3.4048882625408226,3.2434658164701413,3.3664112822817955,0.03380529858206218,5
7,10000000111,3.3471978125826327,3.4260741961725194,3.4415134173581623,3.5927272294369623,3.519280026796156,3.3160727917394603,3.440477579014316,0.03578240394618065,4
8,10111100111,3.3006561842707844,3.4621258581744687,3.530363614117465,3.5759559911798933,3.406852828804348,3.3513739394147617,3.4378880693269536,0.03634570091238841,8
9,10010000111,3.2379256501889,3.2818868011958804,3.467690705341396,3.3600684207584868,3.471890146830148,3.283277813289308,3.350456589600688,0.0346617499512161,5
10,10001001111,3.245773199983641,3.4646424646443754,3.4549474239726985,3.444346451977994,3.6871704583014138,3.1608778898448997,3.409626314787504,0.06400160737390011,6
11,10011000111,3.3318677481176584,3.4828521794913967,3.4165433419502014,3.562446286948694,3.5198301860236287,3.2614284304320607,3.4291613621606065,0.039829400727154726,6
12,10001001101,3.206159009152948,3.442545378028488,3.3088630592158634,3.062962970424799,3.739066202809228,2.6772163623360496,3.2394688303278967,0.12383215198586915,5
13,10010100101,3.270091097677504,3.433469668851758,3.5058934757210074,3.562175708329703,3.4301779553254272,3.3867977787674133,3.431434280778802,0.03473273939013688,5
14,10100100111,3.276694445476612,3.4635832072208337,3.4146843422004207,3.502220580731301,3.4591684485158574,3.3066459119547726,3.4038328226832997,0.03163764669921821,6
15,00000100110,3.3153181492382986,3.3395406299477965,3.5515412279487983,3.510024779351772,3.5089958760974165,3.5089951181999526,3.4557359634640057,0.034852614226356375,3
16,10001100011,3.2441430677762453,3.3894193235925254,3.4691836543410646,3.517259735881864,3.6049230658939315,3.3859965728006154,3.4351542367143746,0.0430155549045602,5
17,00100100111,3.271496670367319,3.3500128049016027,3.5563060783944667,3.6345738967782752,3.5162658516957124,3.5231694630873305,3.475304127537451,0.047089712696183714,5
18,10000001101,3.2131203398569643,3.4211229539463286,3.426907360365308,3.3936157182972613,3.699926132318797,3.0957259292863166,3.3750697390118294,0.07153824137714274,4
19,00010100111,3.3809008576152415,3.2825773525178152,3.5957391140464563,3.50625922810018,3.5153135435896234,3.4902028001409167,3.4618321493350392,0.03849927335301012,5
20,01010100111,3.2408214024171533,3.200471812199814,3.4107484471118985,3.3151344262240015,3.209484913968513,3.422117263766573,3.2997963776146584,0.03415914926945974,6
21,00101100110,3.2444610664117866,3.440573965372692,3.5601513025068785,3.5616284152251647,3.5373029965964715,3.551552515325734,3.482611710239788,0.04322777452445045,5
22,01100100111,3.2534995854139086,3.2162929947535366,3.510602560189503,3.5424590028038345,3.185359894542292,3.439135861645444,3.35789164989142,0.054489282628020205,6
23,00101100111,3.3647250298010496,3.3214915874877526,3.4926861802322566,3.5279076104185534,3.490157988629825,3.47172614970494,3.4447824243790635,0.028283972170199095,6
24,00010100101,3.361286197194926,3.277228948255834,3.3819450983631065,3.507852782541143,3.45868680216856,3.4430183458039045,3.4050030290545785,0.028315496714164508,4
25,00000100111,3.266873256469859,3.2373968458036515,3.5402277864343423,3.5391908218412915,3.4412522187448573,3.5421289238452567,3.4278449755232088,0.04890485250636868,4
26,01101100111,3.3118254935133016,3.1995606142192727,3.520950237356947,3.389356732934949,3.237201761818352,3.4620846065062385,3.3534965743915097,0.043664108388432536,7
27,10110100111,3.3001856086366583,3.448646398514103,3.44416860451841,3.4918928727659475,3.4252354288899123,3.2179018570880538,3.3880051284021815,0.03640311648002855,7
28,00000000111,3.265299672684728,3.2795439752787114,3.416890727893299,3.4899077292312706,3.538615666077052,3.3103766826184904,3.3834390756305917,0.03982807849561538,3
29,00010100100,3.2803426248058347,3.366924781859747,3.4739269262405013,3.4607343190164865,3.478904137098887,3.4563616441993217,3.419532405536797,0.027463878447965863,3
30,01000100111,3.2417036680566618,3.212610620973809,3.4193049743477504,3.4713029323235536,3.1692993371519016,3.375886908569703,3.315018073570563,0.042567025123403136,5
31,00110001111,3.2057446041439306,3.4251903640262022,3.427946144960706,3.4330114854418934,3.6740641644811065,3.2909732960006512,3.4094883431757483,0.054923816273214375,6
32,10001000011,3.266726417148797,3.530031497650504,3.4929044469031467,3.5164061952998504,3.6817697040720674,3.378068214070977,3.4776510791908906,0.048928690968551694,4
33,00011001100,3.2371674295945776,3.4378311166149014,3.3768411522514614,3.4512550317924062,3.580474458481205,3.2948125775969483,3.3963969610552502,0.04216367838281168,4
34,10010100110,3.380009487347303,3.3943949256634283,3.476872014179913,3.531815417744875,3.459813118467638,3.3389778998864275,3.430313810548264,0.024641907566238186,5
35,10001000111,3.3314549409679195,3.541838237867992,3.4894737904079776,3.5663916562214815,3.475271621179484,3.295975887852032,3.4500676890828137,0.03840710660675384,5
