variant,repa,repb,repc,h1_mean,h1_sem
01010100111,9.430291961637987,9.471052750721498,9.432668529451416,9.444671080603634,0.009339935825072242
01011110011,9.40449285011314,9.442880298443523,9.440280295307788,9.429217814621483,0.008757690967854085
01010100101,9.064914365725732,9.184359146808156,9.047793578385512,9.0990223636398,0.030372836715639662
01000100110,9.320260144075231,9.346941572418684,9.301643807504236,9.322948507999383,0.009295091464519163
01001100010,8.449592829550175,8.846445807660569,8.540014293849659,8.6120176436868,0.08491312555547537
01010100110,9.347730105661563,9.42567105514344,9.389709490005048,9.387703550270016,0.015925429074279934
01010100011,8.888772230757644,9.171277955429089,9.074736379151458,9.04492885511273,0.05862129517081669
01011100010,8.75450346398541,8.893760371662065,8.827312963999058,8.825192266548845,0.028435583934490208
01000100111,9.354603332732164,9.410527810700284,9.328301247614057,9.364477463682169,0.017143637137223257
01010011100,8.896201782239874,9.150844952746278,9.015774727003624,9.020940487329925,0.05201089610392534
01000100101,8.73684618725499,8.861639622973632,8.6917722925272,8.763419367585273,0.03592429058195104
01100100111,9.362808933141418,9.397123283167183,9.347983970637324,9.36930539564864,0.010290133039369929
01001011000,8.413047020054334,8.875443981967619,8.582532276699087,8.623674426240347,0.09550065003994782
01011111100,9.405572880338227,9.422083225361892,9.42126967848752,9.416308594729212,0.003799279257149001
00010100100,7.0,7.0,7.0,7.0,0.0
01000100100,8.684234747961089,8.846205900755391,8.794234598354489,8.774891749023656,0.03376209153660191
01010011101,9.274546440335556,9.475336484646801,9.25872086245027,9.336201262477543,0.049297683794335335
01001100011,8.700039171036128,8.875480265565377,8.730566591449902,8.7686953426838,0.03826496584213328
01011111101,9.42727893480721,9.45433538074878,9.474289716262124,9.45196801060604,0.009632468741146342
01011100011,9.06390178345977,9.192706079343804,9.051357021719292,9.102654961507623,0.03194068886086828
01000100010,8.288596639194907,8.722656324354682,8.4992706061638,8.503507856571128,0.08861472628605217
01110100100,9.030031029344789,9.17926160069527,9.106468223692804,9.105253617910956,0.030464589572162082
01000111100,9.276289034589091,9.344679868060242,9.358203646177863,9.326390849609064,0.01792747911664031
01010111100,9.374431911513794,9.415465478352592,9.411792034719749,9.400563141528712,0.009269164234172105
01001100111,9.321568020309474,9.400655298747164,9.358039559876053,9.360087626310898,0.01615985424213006
01001111111,9.36955977350084,9.41712144476194,9.389702349749623,9.392127856004134,0.009746285221647614
01010111111,9.435479998584283,9.48828991615574,9.501382778872417,9.475050897870814,0.014243406757092805
01010111101,9.440983365366813,9.507304106817044,9.501519760126136,9.483269077436665,0.014996809386226755
00000100100,7.0,7.0,7.0,7.0,0.0
01010100100,9.054658861111509,9.117051202229913,9.042544831965447,9.071418298435622,0.01632206511169309
01100100100,8.694137910029848,8.844734330317213,8.813259243958164,8.784043828101742,0.032429348445479365
10000100110,9.027445392361653,9.014129345853457,8.899590940237681,8.980388559484263,0.02869529790339891
01010010111,9.441012102889774,9.617314296787846,9.455629712059592,9.504652037245735,0.039943725348525284
01000011111,9.147858220069356,9.416537851465485,9.307610366737276,9.290668812757373,0.05517011309007562
01010110011,9.434173523000279,9.50830866100496,9.421649592917717,9.454710592307652,0.019121440549983243
01110100101,9.074213160570071,9.228281099114255,9.1401499446516,9.147548068111975,0.03155757065762202
01010000111,9.400821688297857,9.463048756939463,9.415188009914726,9.426352818384014,0.013301263906415872
01010111000,9.387382174440248,9.46291716812998,9.399918286047305,9.416739209539179,0.016525694227810646
01011110010,9.38677944113981,9.408353514660048,9.363250889233855,9.386127948344571,0.009209415808748353
01011000000,7.447770677779295,8.08329520700062,,7.765532942389958,0.1834601290112713
11000100110,9.348796103014665,9.372532099791801,9.358441211084765,9.359923137963746,0.00487333674544506
01000111101,9.375165643868565,9.415738814078717,9.40312142854238,9.398008628829887,0.008476940052288374
01011011100,8.977405432713443,9.146942881186586,9.087553179139226,9.070633831013085,0.03511987771537195
00100100111,7.761758604657412,8.369972871373283,8.067759687456658,8.066497054495784,0.12415201987931089
01010011111,9.47600955000848,9.597562767134633,9.446300469694627,9.506624262279248,0.032718537335567524
01000111111,9.455761162992443,9.436960939173236,9.499636260153164,9.46411945410628,0.013130401985100456
01000000111,9.074813387846888,9.243192522138694,9.122928933471604,9.146978281152395,0.035406359031295936
01001110011,9.332332802318195,9.416087104544166,9.355400238625398,9.36794004849592,0.017661780341703282
01011111010,9.345185049186076,9.401815407275556,9.370058748627217,9.37235306836295,0.011588049099704786
01001111100,9.326598582523204,9.359316591635043,9.383573445713386,9.356496206623879,0.011672615299590565
00001100011,7.0,7.0,7.0,7.0,0.0
01100010111,9.28241786009237,9.448688339029507,9.25508424912585,9.32873014941591,0.042777051896326815
01111100111,9.377284017286565,9.409724387591336,9.422412549809936,9.403140318229278,0.00950139102931361
00001111110,8.825884362104073,8.982623714765692,8.830882741814836,8.879796939561533,0.03636906933118244
01011100111,9.39282084512484,9.471601645780684,9.433153264075287,9.432525251660271,0.016082596378741296
01001110010,9.309077164285783,9.429661010391806,9.330046403029893,9.356261525902495,0.02630126893595757
01010100001,8.423635178178227,8.865139048038143,8.42690549293896,8.571893239718444,0.10368019885885006
11001100010,9.34265475198418,9.353600627608538,9.3491623776972,9.348472585763306,0.002247587891497215
00100100110,7.538667807318425,7.895646109178791,7.398045471639523,7.6107864627122455,0.10472378268706925
00000100110,7.556883330853591,7.9610259872505535,,7.758954659052073,0.11666593573089845
01101100010,8.34793343025393,8.810582934770483,8.579238518886045,8.579251627970152,0.09443793476514901
01011011101,9.186622048225011,9.428532556113213,9.207085848081745,9.274080150806656,0.054766703547684495
01001100100,8.726120511889164,8.84033155551983,8.818493672044275,8.79498191315109,0.02475090141957776
01101100111,9.3205125750382,9.373096779675127,9.354186895819062,9.349265416844128,0.010873824540305433
10000100100,8.776554472286815,8.84027744697921,8.691169530100977,8.769333816455669,0.030543401147425746
01001011001,8.772680990668434,9.11135016731732,8.751486497720709,8.878505885235487,0.08243648707386889
01011011111,9.449460340045377,9.52855806723945,9.484891937342434,9.48763678154242,0.016174894327726144
01001111110,9.324063530176039,9.334200562121003,9.353551169035699,9.33727175377758,0.006116294834606467
01110111110,9.404846829095144,9.411189866834803,9.437457716979326,9.417831470969757,0.007058690639473646
00010011101,8.863962502297568,9.050539346932453,8.776975723099174,8.897159190776398,0.05706104795986691
01000101101,8.546912279020576,8.76447085906169,8.512218512424138,8.607867216835468,0.05581881392662487
