variant,repa,repb,repc,h1_mean,h1_sem,repx,repy,repz,h9_mean,h9_sem,som_mut
01010100111,9.430292183071577,9.471052751906523,9.43266808286327,9.444671005947123,0.009339955521439165,9.624191329121782,9.6350402862265,9.680785002704267,9.646672206017518,0.012262321292674683,6
01011110011,9.404492889185757,9.442880295249028,9.440280077942523,9.429217754125771,0.00875765847926486,9.365003179617094,9.401992570496287,9.445685514859273,9.404227088324218,0.01648815032821714,7
01010100101,9.064914435501402,9.184359156899378,9.04779394350899,9.099022511969922,0.03037278122864114,9.216999510245753,9.208675470587213,9.341691945239962,9.255788975357643,0.03041877869839403,5
01000100110,9.320260159062267,9.346941574230268,9.301643849039051,9.322948527443863,0.009295083559702625,9.652132620289967,9.586889265921734,9.681689035944519,9.640236974052074,0.019802688784842978,4
01001100010,8.44959285846372,8.846446894848315,8.540015263847765,8.612018339053266,0.08491330252869007,9.171155027522897,9.16909259107982,9.32654935393913,9.22226565751395,0.03687225790052043,4
01010100110,9.347730291114287,9.425671042414422,9.389709523195632,9.387703618908114,0.015925388102625025,9.56681108418539,9.536074952224489,9.587263712915163,9.563383249775013,0.010518910287513235,5
01010100011,8.88877277795043,9.171278000315676,9.07473552488932,9.044928767718476,0.05862114556723593,9.169183140956816,9.245132812298372,9.290478695447986,9.234931549567726,0.025020665478109737,5
01011100010,8.754503571876164,8.893760233453467,8.827314020849279,8.825192608726303,0.028435540380717488,9.051208793943244,9.118608624178536,9.360363323837252,9.176726913986345,0.0663669502917107,5
01000100111,9.354603460382824,9.410527817060569,9.328300958844489,9.36447741209596,0.017143683213975323,9.705686450447537,9.710012069214416,9.760235955401528,9.725311491687826,0.012379192008476111,5
01010011100,8.896202226512742,9.150844907644096,9.0157727114307,9.020939948529179,0.052010814609183435,7.250397297219597,7.815882623066474,7.394051613226299,7.486777177837457,0.11999439999876432,5
01000100101,8.736846326221476,8.861641476265216,8.691772649881944,8.763420150789546,0.03592464487956806,9.267669563210283,9.218084086372734,9.350672700206554,9.27880878326319,0.02734957890332055,4
01100100111,9.36280893472713,9.397123280725673,9.347983867843645,9.369305361098816,0.010290150155202148,9.681474769741547,9.756501573140383,9.725192306947921,9.72105621660995,0.015384438780386778,6
01001011000,8.413047001752743,8.875443991980523,8.582533199565617,8.623674731099628,0.09550062247236103,7.494453308382172,8.440007577519784,7.633194276445823,7.855885054115927,0.20845127560798535,4
01011111100,9.405573286454652,9.422083286382428,9.42126949549281,9.416308689443296,0.003799171442552776,9.598291357809462,9.594918837449876,9.62868730235086,9.607299165870067,0.007593119253472833,7
00010100100,6.510453750616728,6.600573453722914,6.512210427053676,6.541079210464439,0.02103744761807689,7.055214231535385,7.050268780643232,6.839057543081242,6.981513518419953,0.05037590868230779,3
01000100100,8.684233790003045,8.846205650274099,8.794232279189957,8.7748905731557,0.03376215108212438,9.15535908549649,9.225492760864897,9.385457233804482,9.25543636005529,0.048146917196306184,3
01010011101,9.274546379034447,9.475336604458876,9.258720860306891,9.336201281266737,0.04929771864326753,7.815142193810332,8.831518378093987,8.610874814682902,8.41917846219574,0.2182566362726886,6
01001100011,8.700039175261072,8.875482122738088,8.730566909023501,8.768696069007554,0.03826537073663529,9.255014130401161,9.261106918713162,9.39755441329643,9.304558487470251,0.032902538358397196,5
01011111101,9.427279076439227,9.454335390181171,9.474289404991907,9.451967957204102,0.00963237857292983,9.711095980000808,9.697063815914435,9.765168785351321,9.724442860422188,0.0146809180471157,8
01011100011,9.06390210412346,9.192706196171011,9.051357492210515,9.102655264168328,0.0319406209184203,9.249821043861436,9.241060245552443,9.382694093174702,9.291191794196193,0.03240033676655482,6
01000100010,8.288596616290572,8.722657377085449,8.499270669547908,8.503508220974643,0.08861494761704279,9.123587921014467,9.160261144093678,9.350046707934789,9.21129859101431,0.04962276239201841,3
01110100100,9.030031152083463,9.179261691212703,9.106468444886717,9.105253762727628,0.030464583376333967,9.141227210612016,9.177268770665366,9.3493880935472,9.222628024941526,0.04541628701515188,5
01000111100,9.276289039012523,9.344679390318609,9.358203387626313,9.326390605652483,0.01792739923798365,9.6935302229941,9.618705218068007,9.707945274905994,9.673393571989367,0.019557864877403394,5
01010111100,9.374432036133292,9.415465486438382,9.411791621769868,9.400563048113847,0.009269094352979157,9.504484245851568,9.53798574275459,9.634727033801934,9.559065674136031,0.027610591517132382,6
01001100111,9.321568098786443,9.400655078882561,9.358039289470613,9.36008748904654,0.01615979551390874,9.796857395839208,9.770446037583383,9.802965834547553,9.790089755990047,0.007056144018910754,6
01001111111,9.369559950767693,9.41712145410217,9.389702077571435,9.392127827480433,0.009746258656741431,9.843034047011287,9.846836200733039,9.872762913540901,9.854211053761743,0.006604830545140737,8
01010111111,9.43548020910433,9.48828988618202,9.501382426905575,9.475050840730642,0.014243301473139488,9.693039744205784,9.66812023625085,9.663412499397655,9.674857493284764,0.0064998254205524296,8
01010111101,9.440984071768147,9.507304118330227,9.501519409409774,9.48326919983605,0.014996609372970225,9.714882004015742,9.679726056770749,9.727952827332183,9.707520296039556,0.010182512852445235,7
00000100100,6.502832684963847,6.349706748145857,6.575947546172224,6.47616232642731,0.047134038817066695,7.18018317902592,7.350657151821222,7.0021095682700345,7.1776499663723925,0.0711526145860713,2
01010100100,9.054659015513815,9.11705123224065,9.042543686992461,9.071417978248975,0.016322227680357557,9.154943274723157,9.24023860001364,9.404863999927722,9.266681958221506,0.05186445574230965,4
01100100100,8.694137907912085,8.84473436617676,8.813259403230047,8.784043892439632,0.03242936648452239,9.223655562722376,9.19384325118824,9.37475679048324,9.264085201464619,0.03959870355975904,4
10000100110,9.027445734303075,9.014129360421961,8.899590623934959,8.980388572886666,0.02869542027756729,9.188722045952684,9.232118837550953,9.279001193205414,9.23328069223635,0.018432731471047646,4
01010010111,9.441012078376394,9.617314119204133,9.455628916951394,9.504651704843974,0.03994376818223569,9.125495026170798,9.267517508931364,9.317817833996894,9.236943456366353,0.04071874081266617,6
01000011111,9.147858258595072,9.416538033465784,9.30761038960933,9.290668893890063,0.05517013996726947,8.535375692290433,9.25204205541625,9.071546655456148,8.95298813438761,0.15217575430921182,6
01010110011,9.43417372890856,9.508308551124836,9.421649307901127,9.454710529311507,0.01912143752057435,9.346143039488226,9.38303180438506,9.464069422786617,9.397748088886635,0.0246275074581527,6
01110100101,9.074213442422517,9.228281173924934,9.140150058234413,9.147548224860621,0.03155752980575605,9.185455624839284,9.175145449443184,9.312873978374,9.224491684218822,0.03131865091090254,6
01010000111,9.400822226821044,9.463048611756298,9.415187997075416,9.426352945217586,0.013301145287722525,9.057872726423948,9.259618815798426,9.265102070326568,9.194197870849647,0.04821121113059166,5
01010111000,9.387382196241246,9.462917211714032,9.399917914269135,9.416739107408137,0.016525732684630687,9.15258920284504,9.274850602962943,9.433239841834864,9.28689321588095,0.05744557378622084,5
01011110010,9.386779658856835,9.408353574666368,9.36325061776699,9.386127950430064,0.009209485356340662,9.219804520711016,9.30017157482353,9.436225560663186,9.318733885399244,0.044661572154606304,6
01011000000,7.447771155470082,8.083296539276219,7.375999095113626,7.635688929953308,0.15892987767397138,6.994395176860576,7.389063653232179,6.997363236174704,7.12694068875582,0.09267644318040864,3
11000100110,9.348796652036551,9.372532112349337,9.358440826263424,9.359923196883104,0.004873244744786269,10.053920217428,9.98401461694805,10.01897266694576,10.01896916710727,0.014269420998544797,5
01000111101,9.375165658114176,9.415738693614882,9.403121451922537,9.398008601217198,0.00847691703182543,9.783388537945633,9.801994704936753,9.793778740264226,9.793053994382204,0.003806601830383834,6
01011011100,8.977405599333062,9.146943160414935,9.087553355146706,9.070634038298234,0.03511989848210854,7.621196663990352,8.414017358356215,8.055628411055062,8.030280811133876,0.16208178952307575,6
00100100111,7.761758568672872,8.369972662446896,8.06776046941294,8.066497233510903,0.12415198534460868,8.689326021393708,9.085722619653996,9.106745227257713,8.960597956101806,0.09600506447389545,5
01010011111,9.476009543814367,9.597562792108217,9.44630005199636,9.506624129306315,0.03271860777949258,8.232054768290848,9.160196344106149,9.036740598408038,8.80966390360168,0.2057646573079559,7
01000111111,9.455761365338338,9.436960942449804,9.49963574703414,9.464119351607428,0.013130275024264261,9.866040115889042,9.800228067224571,9.828378220777834,9.831548801297151,0.013480516019894332,7
01000000111,9.074813538243145,9.24319255843325,9.122928875597239,9.146978324091211,0.03540634498149815,9.029576248757364,9.210011623169963,9.254206130804727,9.164598000910685,0.048582307808818004,4
01001110011,9.332332979853893,9.416087053483672,9.355399942783702,9.367939992040423,0.017661756419433124,9.479723501658443,9.521370361636553,9.573514975853467,9.524869613049487,0.019185036392360414,6
01011111010,9.345185094145588,9.40181539090534,9.370058185487617,9.372352890179513,0.011588046139532722,9.095480451218366,9.2360236902598,9.381712208646745,9.23773878337497,0.0584299593508185,7
01001111100,9.326598678649553,9.359316559900297,9.383573336917658,9.356496191822503,0.011672573111518881,9.755825080402424,9.703856894237504,9.875636871857262,9.778439615499062,0.03596445716720194,6
00001100011,6.499043232097758,6.410019180009291,6.640787896037692,6.516616769381581,0.04751345771436506,7.8390862792760325,8.354724073580293,8.137939456179128,8.110583269678484,0.10569756732744152,4
01100010111,9.28241782219867,9.448688360271447,9.255084350167014,9.32873017754571,0.042777045782896726,9.186518178242796,9.303762154087432,9.297323153578695,9.262534495302974,0.02690794655373833,6
01111100111,9.377284038935382,9.409724401029534,9.42241250144289,9.403140313802602,0.009501378720408332,9.696796347146718,9.701875094190171,9.807081724368189,9.735251055235025,0.025417127391358492,8
00001111110,8.825884334093475,8.982623722672145,8.830881950450124,8.879796669071913,0.03636916334935068,9.218324665527854,9.289351908357276,9.330445019768604,9.279373864551244,0.02315676458911485,6
01011100111,9.39282088765344,9.47160178112361,9.433152814203753,9.4325251609936,0.01608261356975166,9.797888167279158,9.744030011265515,9.792901186061762,9.778273121535479,0.012149488645867037,7
01001110010,9.309077291535788,9.429660817536435,9.330046006014447,9.356261371695558,0.026301238038138452,9.355769739798957,9.422866814611496,9.451529074872154,9.41005520976087,0.020064751338070678,5
01010100001,8.423635169964372,8.865139444624008,8.426905241081432,8.57189328522327,0.10368032266196868,8.929447920273287,9.171931835667241,9.292378515503843,9.131252757148124,0.07546604623987638,4
11001100010,9.342655380119076,9.353600426739707,9.349162016411988,9.348472607756923,0.0022474049702639128,9.708499440656288,9.709731806227092,9.769668534112471,9.729299926998616,0.014274674610766388,5
00100100110,7.538667890057447,7.895639850328628,7.398045807977464,7.610784516121179,0.10472230227444007,8.272638020236606,9.046579424959749,9.02657516705598,8.781930870750779,0.18010850816114926,4
00000100110,7.556883506062403,7.96101443353133,7.2431631559739555,7.58702036518923,0.1469176565751552,8.38587694035285,9.053045459869503,9.21791288848099,8.885611762901114,0.1798594297892803,3
01101100010,8.347933445437413,8.810582979694944,8.579239447450659,8.579251957527672,0.09443794082584446,9.191294022124387,9.23208257077784,9.378545176780724,9.267307256560983,0.04020019194901068,5
01011011101,9.186622371554472,9.428532537861344,9.207085848157693,9.274080252524502,0.05476665622286715,8.560923982436773,9.254793141733892,9.168122010421033,8.994613044863899,0.15434950782906776,7
01001100100,8.726121306215283,8.840331825186109,8.818494062483579,8.794982397961656,0.02475078933872567,9.278533834421617,9.270966174048892,9.404023920386189,9.317841309618899,0.030509285935812005,4
