variant,repx,repy,repz,h9_mean,h9_sem
00011001100,6.601378704859389,6.74391454824953,6.216441228867673,6.520578160658864,0.11139537065654516
10000001100,6.8391432212110805,6.782626026527165,6.117727443777209,6.5798322305051515,0.16378551714635453
01011001100,7.128510369286566,7.245955532091927,6.514726709280088,6.96306420355286,0.16031387086207163
00001011100,6.884072099761938,7.0416295272537495,6.604322115181276,6.843341247398988,0.09041911202288337
00000001101,6.618607160049626,6.5577547924251816,6.1586064733163735,6.444989475263728,0.10201075965689319
00100001101,6.68433284345196,6.614605319846062,6.212964470955117,6.503967544751046,0.10386495527531737
00010001101,6.663689661297068,6.728643912604872,6.315452613323708,6.569262062408549,0.09070941794571494
01011000000,6.994402816932462,7.38908639402109,6.997380424206185,7.126956545053246,0.09267888992483482
00001001100,6.629623658674443,6.530154585938201,6.143519903159393,6.434432715924012,0.10483814714495125
00100011100,6.685426270351581,6.748350244264567,6.452728559713734,6.6288350247766274,0.06357406691012939
00010100100,7.055218953562816,7.050261712033622,6.8390537437753345,6.981511469790591,0.05037657580161158
00011011101,7.004592238978032,7.085988078701539,6.7005985781373445,6.930392965272305,0.08292608752188382
10001001100,6.932438898397964,6.88819055177394,6.239117504094912,6.686582318088938,0.15846032566900975
10001001101,7.003590197036832,6.972443162224062,6.4479957232187575,6.808009694159884,0.12744284921681928
10001001110,7.699447124240915,8.672753607587705,8.262755251028493,8.211651994285704,0.1994952107898472
10110001100,7.042278735848282,6.863191346949421,6.341203757544088,6.748891280113931,0.14870267328913134
00011011100,6.890375926744076,7.074765216250314,6.674624518384283,6.879921887126225,0.08176196113355251
00110001111,6.867777396874836,6.97944026948973,6.40557164796376,6.7509297714427765,0.12421173077307869
10000001101,7.031869004296873,7.046064186383351,6.474640114650322,6.8508577684435155,0.13304458404851752
00111001100,6.510952132187357,6.598253566358029,6.212603261375562,6.440602986640315,0.08255633545511665
00000011101,6.860687728541581,6.865598595208414,6.613167407212254,6.779817910320749,0.05892837713783143
00001100001,7.610874750272242,8.230914102839929,7.760592679449486,7.867460510853886,0.1320844109682318
00010011101,6.756129868952514,6.907269100836523,6.661660540566486,6.775019836785174,0.05057752198855935
10001011100,7.841377358941371,8.67066767538914,8.502758838980501,8.338267957770338,0.17898954566281342
00000100100,7.180182065400968,7.350646782162645,7.0021042416107475,7.17764436305812,0.07115160526823278
00010001111,7.0204794720119885,7.094579746632219,6.473606448858535,6.862888555834247,0.13846066335683319
10000001110,7.414094531496298,8.10463823143108,6.8723510142762505,7.46369459240121,0.252150111019252
00100001111,6.8204036494304505,6.7581665719049475,6.388558831879218,6.655709684404871,0.09530262934342085
10111001100,7.033829441146213,7.000095045495794,6.208322664132843,6.747415716924951,0.1907225262167572
00010101100,7.302584940305987,7.305976148315421,6.945273243852839,7.184611444158082,0.0846216635649086
