106743.90,90012.00,77718.18,54878.04,53128.00,67694.77,11280.01,10428.00,70890.56,624.69,548.00,74707.45,52.40
97447.20,88279.00,72342.23,38617.88,38499.00,65738.37,6504.54,5603.00,76080.95,507.87,597.00,55751.71,53.90
127581.20,110153.00,75904.98,52268.37,50397.00,67969.52,5721.52,5065.00,74030.71,472.23,352.00,87920.64,54.40
37791.95,36537.00,67786.99,13633.83,14285.00,62548.60,11916.66,11609.00,67272.83,771.21,793.00,63735.21,55.60
53781.40,50800.00,69382.23,19842.06,20212.00,64336.50,16483.88,15616.00,69178.26,378.18,315.00,78680.65,60.10
73782.70,68149.00,70953.69,30390.22,30161.00,66034.06,5606.09,4757.00,77233.71,517.77,558.00,60811.07,60.50
98696.45,75927.00,85189.32,38342.99,31091.00,80822.30,8697.71,5747.00,99184.46,494.01,608.00,53249.08,67.80
35912.85,34032.00,69157.98,13990.83,14628.00,62681.37,4285.19,3876.00,72454.66,758.34,861.00,57721.92,70.20
67973.45,62534.00,71236.58,28218.47,29202.00,63328.73,7070.98,6806.00,68087.54,394.02,365.00,70746.56,71.60
54850.15,51833.00,69350.79,19952.73,20125.00,64975.01,8789.34,7517.00,76628.75,686.07,746.00,60271.16,80.90
80459.30,75159.00,70157.67,17343.06,17971.00,63246.05,9065.42,8551.00,69478.59,582.12,680.00,56102.67,81.80
77024.10,67868.00,74377.49,72695.91,72728.00,65507.09,2378.81,2108.00,73955.27,562.32,384.00,95969.27,81.90
78886.10,73896.00,69961.56,29453.69,29852.00,64661.57,9687.79,8504.00,74658.88,484.11,332.00,95562.15,82.90
108368.40,88890.00,79896.86,36059.38,29934.00,78946.60,18956.70,14430.00,86094.70,517.77,457.00,74250.71,87.80
82399.20,73390.00,73581.05,37957.43,37354.00,66594.70,3467.66,3246.00,70011.27,520.74,436.00,78273.43,90.30
124710.30,112873.00,72408.94,38539.34,37741.00,66922.29,14703.64,13501.00,71373.81,487.08,596.00,53559.19,93.10
53249.40,48595.00,71813.00,24744.86,24679.00,65710.90,8729.84,7271.00,78685.04,612.81,569.00,70581.93,94.20
70831.05,62484.00,74290.76,30196.25,29888.00,66211.91,12838.91,11376.00,73963.68,602.91,453.00,87223.66,95.30
44591.10,43308.00,67477.66,17940.44,18760.00,62672.96,4337.55,4424.00,64255.36,586.08,525.00,73160.65,96.50
