,concen,total_ct,1,2,3,4
0,_7_,2418659.0,460188.0,772159.0,621854.0,564458.0
1,_75_,2849511.0,520364.0,902043.0,715438.0,711666.0
2,_8_,2440602.0,517932.0,573352.0,756074.0,593244.0
3,_85_,2382231.0,731090.0,583986.0,476185.0,590970.0
4,_9_,2268056.0,786174.0,526782.0,555355.0,399745.0
5,_95_,2318328.0,841437.0,539170.0,470335.0,467386.0
6,_10_,2332034.0,1104715.0,487818.0,359414.0,380087.0
7,_105_,2195373.0,1246100.0,352075.0,330469.0,266729.0
8,_11_,2313993.0,1523779.0,243392.0,271446.0,275376.0
9,_115_,2443670.0,2362907.0,32326.0,33298.0,15139.0
10,_12_,1987000.0,1886841.0,56354.0,5593.0,38212.0
11,_0_,1895508.0,1744795.0,47106.0,62182.0,41425.0
