Optimal order: 4
Type,Order,Mean,Std
Train,0,-7.993605777301127e-16,1.302135902338697e-15
Train,1,0.7879791253242633,0.00133919763931332
Train,2,0.9396043647096375,0.000361173648792574
Train,3,0.9660837857001745,0.0002579455481961901
Train,4,0.9759570279412058,0.00019146582497088936
Train,5,0.9828935585442498,0.00016473442443075008
Test,0,-0.0017677655731233477,0.002136062166617085
Test,1,0.7865296672002532,0.012504429639259162
Test,2,0.9378108030172101,0.0033937904877456766
Test,3,0.9621597161166182,0.0024797379617708904
Test,4,0.9666720141576292,0.002208752236236516
Test,5,0.9626024039570602,0.002796175772777622
