Optimal order: 5
Type,Order,Mean,Std
Train,0,4.4408920985006264e-17,1.3823948578094108e-15
Train,1,0.6503902093094752,0.0005546175682553669
Train,2,0.8931386788913575,0.00039247921613765654
Train,3,0.9546612481295357,0.0002647373851315705
Train,4,0.9663833396741174,0.00022402860919915353
Train,5,0.9738701281045303,0.00019167272835974195
Train,6,0.9793357395100385,0.00017460428941551572
Test,0,-9.19319692125109e-05,8.992117127890051e-05
Test,1,0.6500664259753441,0.005000306350769922
Test,2,0.8925714304845203,0.0036045845520050867
Test,3,0.9535329561654095,0.0024514983266455317
Test,4,0.9632541352600829,0.0021130773118113602
Test,5,0.9663397237365137,0.0019589793084601936
Test,6,0.9623646088186563,0.002250753093872031
