Optimal order: 5
Type,Order,Mean,Std
Train,0,0.0,1.4503892858778862e-15
Train,1,0.6504743383717447,0.0005205780493859618
Train,2,0.8931580916943701,0.00040912945901799196
Train,3,0.9546352099680898,0.00026663335296700584
Train,4,0.9663616541470331,0.00022597064454239649
Train,5,0.9738541242614934,0.00019559972696338803
Train,6,0.9793270550038853,0.00018198862009046049
Test,0,-8.731600241021178e-05,9.365452292862798e-05
Test,1,0.6493261115191886,0.004722343363158959
Test,2,0.8923895588465679,0.003755785782308083
Test,3,0.9537538651122267,0.002487890043231755
Test,4,0.9634392441466111,0.00214908456657107
Test,5,0.9664826573797822,0.0020148696383454493
Test,6,0.9624172837097729,0.002366647345504679
