,concen,total_ct,1,2,3,4
0,_7_,1935094.0,244715.0,596301.0,621210.0,472868.0
1,_75_,1675714.0,332994.0,347984.0,484229.0,510507.0
2,_8_,2022078.0,391432.0,570756.0,499947.0,559943.0
3,_85_,1765209.0,647488.0,259488.0,291646.0,566587.0
4,_9_,1893599.0,680205.0,564144.0,2114.0,647136.0
5,_95_,1963404.0,763042.0,602462.0,90981.0,506919.0
6,_10_,2425745.0,953388.0,579747.0,448508.0,444102.0
7,_105_,2827040.0,1776348.0,452274.0,361113.0,237305.0
8,_11_,1721336.0,1291331.0,185838.0,189344.0,54823.0
9,_115_,532128.0,395523.0,45928.0,52695.0,37982.0
10,_12_,2290923.0,2196145.0,40586.0,26290.0,27902.0
11,_0_,2317820.0,2116954.0,45917.0,58413.0,96536.0
