labels,distance,epistasis
"85,87",7.1043853759765625,1.0394549316126558
"29,35",6.3729095458984375,0.9758189957347668
"35,82",7.825263500213623,0.7203178667694757
"35,87",10.7962064743042,0.5304842792588266
"29,66",22.004121780395508,0.4854902139196114
"35,85",7.633279800415039,0.4799743096064932
"29,112.1",19.042049407958984,0.4747769535704622
"83,84",3.8200762271881104,0.46568202973786
"35,66",17.67789077758789,0.3844028367118312
"29,85",4.259842872619629,0.3834125991984793
"35,112.1",13.465765953063965,0.3394447929288921
"69,112.1",15.122503280639648,0.0
"69,87",20.484346389770508,0.0
"69,85",27.09459114074707,0.0
"82,84",5.350276947021484,0.0
"69,84",28.974735260009766,0.0
"69,83",29.784391403198242,0.0
"69,82",26.157251358032227,0.0
"66,112.1",8.010716438293457,0.0
"82,83",3.8401217460632324,0.0
"82,87",7.819326877593994,0.0
"82,85",4.944685459136963,0.0
"66,85",19.61446189880371,0.0
"82,112.1",17.18222427368164,0.0
"83,85",5.542613506317139,0.0
"83,112.1",20.83785629272461,0.0
"84,87",8.708846092224121,0.0
"84,112.1",20.871286392211914,0.0
"85,112.1",17.719696044921875,0.0
"66,87",14.032209396362305,0.0
"66,69",9.446194648742676,0.0
"66,84",21.696575164794922,0.0
"65,66",3.7709591388702393,0.0
"29,69",30.106853485107422,0.0
"29,82",6.349865913391113,0.0
"29,83",5.750124454498291,0.0
"29,84",6.199704170227051,0.0
"29,87",11.007655143737793,0.0
"35,65",15.340556144714355,0.0
"35,69",26.25675392150879,0.0
"35,83",9.934517860412598,0.0
"66,83",21.744991302490234,0.0
"87,112.1",14.201269149780273,0.0
"65,69",12.65686321258545,0.0
"65,82",14.649590492248535,0.0
"65,83",18.42276954650879,0.0
"65,84",18.66834831237793,0.0
"65,85",16.897838592529297,0.0
"65,87",11.69680118560791,0.0
"65,112.1",8.94469165802002,0.0
"29,65",19.237468719482422,0.0
"66,82",17.942237854003906,0.0
"84,85",3.850695848464966,-0.4465722228785116
"35,84",10.871783256530762,-0.5383892658895503
"83,87",10.533266067504883,-0.6423519206374183
