Term,H1_Effect,H1_SE,H1_95CI_low,H1_95CI_hi,H9_Effect,H9_SE,H9_95CI_low,H9_95CI_hi,buriedSA_H1
29,0.807303339,0.079286857,1.70E-23,0.495627476,-0.234603532,0.134466222,0.081276696,-0.763246441,66.883
35,0.573612962,0.086392905,4.58E-11,0.234003293,0.410971084,0.136966227,0.002747259,-0.127500392,50.217
65,0.073510897,0.079229949,0.353671461,-0.237941265,-0.054637487,0.13434062,0.684290011,-0.582786604,0
66,-0.054929911,0.079087485,0.487461514,-0.365822047,0.081022783,0.134359295,0.546595077,-0.447199752,1.8453
69,0.024557465,0.080113627,0.759247071,-0.290368424,-0.131259665,0.136481121,0.336360718,-0.667823984,0
82,0.085055598,0.07887815,0.281088874,-0.225013645,-0.065303646,0.134393348,0.627111117,-0.593660058,4.9606
83,1.341608513,0.097886561,4.42E-40,0.956817391,-0.294517197,0.135958547,0.030477865,-0.829027059,150.62
84,0.062964334,0.083275122,0.449723537,-0.264389361,0.14817135,0.141326679,0.29463774,-0.407442883,37.166
85,0.319952181,0.079003723,5.42E-05,0.009389312,-0.094885602,0.134450847,0.480486301,-0.623468064,0.42356
87,0.242541094,0.079832635,0.002427167,-0.07128022,-0.077821932,0.134159228,0.561968558,-0.605257921,0
'112.1',0.063197125,0.079580494,0.42726293,-0.249633024,0.035440201,0.134242615,0.79182155,-0.492323615,0
