Optimal order: 4
Type,Order,Mean,Std
Train,0,-6.661338147750939e-17,1.4217791915866693e-16
Train,1,0.743172147598305,0.002331636982532784
Train,2,0.9154793717540312,0.0015519076283753658
Train,3,0.958625822362196,0.0009829836789436211
Train,4,0.9836163234250925,0.0007242950499934781
Train,5,0.9953083286012993,0.0002576158574749945
Test,0,-0.004843170578768463,0.005034520257389836
Test,1,0.7370449710186087,0.02443239068615735
Test,2,0.9074383522633811,0.014623024177386583
Test,3,0.9441317382041383,0.010252229898359604
Test,4,0.9608806096861452,0.009551047363012521
Test,5,0.9568206659475023,0.010031179433639705
