Optimal order: 4
Type,Order,Mean,Std
Train,0,-6.661338147750939e-17,1.4217791915866693e-16
Train,1,0.7431721475983049,0.0023316369825327845
Train,2,0.9154793717540312,0.0015519076283753693
Train,3,0.958625822362196,0.0009829836789436363
Train,4,0.9836163234250925,0.0007242950499934652
Train,5,0.9953083286012993,0.0002576158574749945
Test,0,-0.004843170578768463,0.005034520257389836
Test,1,0.7370449710186094,0.024432390686159666
Test,2,0.9074383522633813,0.014623024177386533
Test,3,0.9441317382041392,0.010252229898359137
Test,4,0.9608806096861455,0.009551047363012708
Test,5,0.9568206659475033,0.010031179433639802
